,0,183_Friday,183_Monday,183_Saturday,183_Sunday,183_Thursday,183_Tuesday,183_Wednesday,35_Friday,35_Monday,35_Saturday,35_Sunday,35_Thursday,35_Tuesday,35_Wednesday,lamar_Friday,lamar_Monday,lamar_Saturday,lamar_Sunday,lamar_Thursday,lamar_Tuesday,lamar_Wednesday,burnet_Friday,burnet_Monday,burnet_Saturday,burnet_Sunday,burnet_Thursday,burnet_Tuesday,burnet_Wednesday,2222_Friday,2222_Monday,2222_Saturday,2222_Sunday,2222_Thursday,2222_Tuesday,2222_Wednesday
0,0,3.02,3.1,3.44,4.0,3.14,3.15,3.13,2.22,2.46,3.01,3.53,2.24,2.03,2.24,3.86,3.68,4.59,4.94,3.84,3.94,3.97,2.7,2.65,3.38,3.89,2.83,2.77,2.75,1.82,1.65,2.55,2.76,1.78,1.78,1.85
1,1,2.24,2.23,2.7,3.07,2.16,2.17,2.2,1.76,1.88,2.48,2.84,1.79,1.65,1.82,2.9,2.61,3.67,3.91,2.89,2.82,2.86,1.97,1.83,2.66,3.21,1.91,1.92,1.89,1.21,1.08,1.72,1.97,1.23,1.19,1.22
2,2,1.79,1.48,2.22,2.48,1.63,1.5,1.57,1.75,1.89,2.28,2.73,1.49,1.55,1.8,2.34,2.04,3.0,3.26,2.3,2.23,2.21,1.58,1.3,2.21,2.42,1.55,1.36,1.39,0.85,0.75,1.27,1.5,0.84,0.78,0.79
3,3,1.46,1.28,1.81,1.79,1.35,1.33,1.27,1.58,1.51,2.12,2.49,1.48,1.36,1.54,2.1,1.69,2.55,2.42,1.95,1.86,1.84,1.37,1.15,1.78,1.76,1.21,1.18,1.21,0.81,0.61,1.1,1.06,0.69,0.64,0.67
4,4,1.36,1.03,1.39,1.36,1.11,1.04,1.11,1.66,1.31,1.6,1.68,1.4,1.18,1.47,1.73,1.21,2.11,1.72,1.46,1.31,1.45,1.12,0.89,1.38,1.29,0.98,0.93,0.95,0.6,0.4,0.84,0.61,0.44,0.41,0.44
5,5,1.61,1.31,1.67,1.17,1.77,1.46,1.52,3.49,3.1,2.5,1.75,3.27,3.08,3.39,1.64,1.15,1.8,1.19,1.33,1.18,1.3,1.46,1.27,1.54,1.04,1.64,1.4,1.4,0.89,0.89,0.83,0.52,0.82,0.83,0.79
6,6,2.55,2.7,2.11,1.84,2.76,2.61,2.63,5.08,5.49,3.83,2.32,5.4,5.51,5.53,1.83,1.68,1.76,2.06,1.8,1.69,1.82,2.4,2.42,1.89,1.89,2.61,2.5,2.43,2.5,2.99,1.27,1.11,2.91,2.97,2.91
7,7,3.61,3.81,2.55,2.04,3.64,3.59,3.76,5.65,6.37,2.89,2.47,6.28,6.13,5.96,2.79,2.87,1.92,2.02,2.97,2.9,3.01,4.18,4.3,2.26,1.99,4.36,4.32,4.41,5.1,5.95,2.43,1.83,5.79,5.84,5.92
8,8,3.9,4.18,3.16,2.6,3.98,4.1,3.92,5.7,6.14,3.79,2.77,6.73,6.52,6.28,3.26,3.44,2.45,2.11,3.43,3.32,3.5,4.54,4.8,3.13,2.67,4.81,4.81,4.82,5.88,6.3,3.7,2.98,6.4,6.36,6.56
9,9,3.36,3.84,3.56,3.4,3.66,3.45,3.53,4.77,5.19,4.04,2.87,5.37,5.44,4.96,2.78,2.93,2.49,2.19,3.02,2.87,2.94,3.83,3.97,3.67,3.1,3.92,3.8,4.12,5.11,5.59,4.51,4.1,5.52,5.64,5.52
10,10,3.42,3.79,3.98,3.31,3.53,3.51,3.36,3.93,3.99,4.08,3.65,4.26,3.86,3.73,2.72,2.92,2.85,2.47,2.83,2.81,2.71,3.77,3.95,4.03,3.54,3.67,3.77,3.59,4.54,4.68,5.11,5.39,4.47,4.52,4.48
11,11,4.52,4.6,4.46,4.52,4.46,4.39,4.34,4.92,4.82,5.01,4.55,5.05,4.79,4.68,3.34,3.58,3.28,3.15,3.46,3.42,3.38,4.61,4.83,4.75,4.35,4.54,4.56,4.49,5.1,5.05,5.65,6.21,5.07,4.88,5.06
12,12,5.53,5.33,4.97,4.93,5.68,5.64,5.66,6.07,6.14,5.57,4.86,6.31,6.4,6.21,4.39,4.82,4.15,3.85,4.53,4.57,4.59,5.4,5.63,5.27,5.36,5.47,5.33,5.52,6.01,5.62,6.05,6.75,5.68,5.67,5.7
13,13,6.35,5.94,5.68,5.49,6.44,6.35,6.33,6.66,6.35,5.68,5.54,6.35,6.65,6.54,6.25,6.32,4.46,4.5,6.18,6.28,6.21,6.6,6.55,5.67,5.83,6.55,6.55,6.63,6.47,6.29,6.31,6.47,6.39,6.23,6.29
14,14,6.23,6.2,5.68,5.7,6.16,6.38,6.3,6.13,5.92,5.6,5.45,5.99,5.88,6.05,6.66,6.68,5.27,4.85,6.47,6.46,6.37,6.78,6.63,6.1,5.86,6.42,6.67,6.72,6.58,6.43,6.68,6.51,6.09,6.36,6.22
15,15,6.11,6.02,6.07,6.1,5.84,6.13,5.94,5.26,5.35,5.58,5.86,5.27,5.49,5.5,6.31,6.51,5.76,5.42,6.31,6.35,6.27,6.45,6.42,6.37,6.28,6.19,6.38,6.27,6.83,6.66,6.76,6.84,6.65,6.71,6.71
16,16,6.46,6.42,6.49,6.34,6.22,6.49,6.35,5.02,5.1,5.68,5.57,5.1,5.1,5.03,6.16,6.61,6.32,6.01,6.15,6.37,6.22,6.5,6.55,6.49,6.29,6.36,6.54,6.34,7.18,7.5,6.67,7.25,7.27,7.33,7.34
17,17,6.61,7.23,6.48,6.51,6.74,7.1,6.84,5.2,5.2,5.8,6.17,5.27,5.05,5.13,6.34,6.59,6.25,6.37,6.46,6.55,6.36,6.45,6.93,6.47,6.34,6.52,6.83,6.68,7.32,7.99,6.78,7.22,7.59,7.88,7.66
18,18,5.9,6.46,6.27,6.87,6.27,6.49,6.46,5.08,4.66,6.0,6.37,4.58,4.72,4.81,5.95,6.46,6.45,6.88,6.18,6.44,6.37,5.79,6.25,6.21,6.76,6.02,6.26,6.0,6.44,6.76,6.81,7.0,6.66,6.7,6.63
19,19,5.32,5.64,5.87,6.61,5.46,5.36,5.45,4.59,4.02,5.67,5.84,4.32,4.34,4.16,5.55,5.81,6.42,7.16,5.43,5.57,5.61,4.95,5.07,5.67,6.5,5.08,5.04,5.01,4.8,4.77,5.74,5.95,4.85,4.69,4.67
20,20,4.9,4.98,5.58,6.0,4.89,4.84,5.01,4.19,3.82,5.21,5.54,3.74,3.86,3.59,5.3,5.33,6.0,6.7,5.3,5.22,5.29,4.63,4.71,5.43,5.97,4.8,4.62,4.69,3.88,3.75,5.01,5.17,3.87,3.84,3.78
21,21,4.89,4.58,5.34,5.53,4.76,4.68,4.77,3.46,3.57,4.27,5.47,3.45,3.53,3.45,5.6,5.49,6.08,6.49,5.68,5.73,5.61,4.55,4.39,5.18,5.33,4.42,4.47,4.55,3.78,3.39,4.66,4.63,3.57,3.46,3.51
22,22,4.67,4.26,4.58,4.44,4.34,4.34,4.31,3.04,2.97,3.78,5.07,2.7,3.0,3.18,5.42,5.24,5.49,5.41,5.37,5.46,5.48,4.4,4.06,4.59,4.51,4.29,4.21,4.23,3.45,2.68,4.19,3.57,2.97,2.9,2.85
23,23,4.19,3.58,3.94,3.89,4.01,3.9,4.2,2.78,2.76,3.51,4.62,2.16,2.86,2.95,4.78,4.34,4.89,4.89,4.64,4.65,4.6,3.98,3.47,3.88,3.82,3.84,3.78,3.91,2.86,2.24,3.35,2.62,2.45,2.38,2.43
